# polyfill-versiondb 1
# from=0.4.6f13
# to=0.4.7f5
# counts=R:45 -:781 ?:250
# op|kind|type|from|to|arity|origin|rule|confidence|note
R|F|ScheduleOne.AvatarFramework.AvatarEffects|currentEmission|_currentEmission|0|derived|name-underscore|high|
R|F|ScheduleOne.AvatarFramework.AvatarEffects|isCulled|_isCulled|0|derived|name-underscore|high|
R|F|ScheduleOne.AvatarFramework.AvatarEffects|laxativeEnabled|_laxativeEnabled|0|derived|name-underscore|high|
R|F|ScheduleOne.AvatarFramework.AvatarEffects|targetEmission|_targetEmission|0|derived|name-underscore|high|
R|F|ScheduleOne.AvatarFramework.AvatarLODBoundsUpdater|hipOffsetOnLastRefresh|_hipOffsetOnLastRefresh|0|derived|name-underscore|high|
R|F|ScheduleOne.AvatarFramework.Eye|blinkRoutine|_blinkRoutine|0|derived|name-underscore|high|
R|F|ScheduleOne.AvatarFramework.Eye|maxRotation|MaxRotation|0|derived|name-case|high|
R|F|ScheduleOne.AvatarFramework.Eye|minRotation|MinRotation|0|derived|name-case|high|
R|F|ScheduleOne.AvatarFramework.EyeController|blinkRoutine|_blinkRoutine|0|derived|name-underscore|high|
R|F|ScheduleOne.AvatarFramework.EyeController|leftEye|LeftEye|0|derived|name-case|high|
R|F|ScheduleOne.AvatarFramework.EyeController|rightEye|RightEye|0|derived|name-case|high|
R|F|ScheduleOne.AvatarFramework.EyeController|timeUntilNextBlink|_timeUntilNextBlink|0|derived|name-underscore|high|
R|M|ScheduleOne.Cartel.CartelDealer|RpcReader___Observers_ConfigureGoonSettings_3427656873|RpcReader___Observers_ConfigureGoonSettings_451009018|2|derived|rpc-hash|high|
R|M|ScheduleOne.Cartel.CartelDealer|RpcReader___Target_ConfigureGoonSettings_3427656873|RpcReader___Target_ConfigureGoonSettings_451009018|2|derived|rpc-hash|high|
R|F|ScheduleOne.Cartel.CartelDealer|appearance|_appearance|0|derived|name-underscore|high|
R|M|ScheduleOne.Cartel.CartelGoon|RpcReader___Observers_ConfigureGoonSettings_3427656873|RpcReader___Observers_ConfigureGoonSettings_451009018|2|derived|rpc-hash|high|
R|M|ScheduleOne.Cartel.CartelGoon|RpcReader___Target_ConfigureGoonSettings_3427656873|RpcReader___Target_ConfigureGoonSettings_451009018|2|derived|rpc-hash|high|
R|F|ScheduleOne.Cartel.CartelGoon|appearance|_appearance|0|derived|name-underscore|high|
R|F|ScheduleOne.Combat.PhysicsDamageable|impactHistory|_impactHistory|0|derived|name-underscore|high|
R|F|ScheduleOne.Dialogue.DialogueController|cachedGreeting|_cachedGreeting|0|derived|name-underscore|high|
R|F|ScheduleOne.Dialogue.DialogueController|lastGreetingTime|_lastGreetingTime|0|derived|name-underscore|high|
R|F|ScheduleOne.Dialogue.DialogueController|shownChoices|_shownChoices|0|derived|name-underscore|high|
R|F|ScheduleOne.Dragging.Draggable|Rigidbody|_rigidbody|0|derived|name-underscore|high|
R|F|ScheduleOne.Dragging.Draggable|currentDragger|_currentDragger|0|derived|name-underscore|high|
R|P|ScheduleOne.Dragging.Draggable|initialPosition|InitialPosition|0|derived|name-case|high|
R|M|ScheduleOne.Economy.Customer|RpcReader___Observers_ProcessHandoverClient_2441224929|RpcReader___Observers_ProcessHandoverClient_537707335|2|derived|rpc-hash|high|
R|M|ScheduleOne.Economy.Customer|RpcReader___Server_ProcessHandoverServerSide_3760244802|RpcReader___Server_ProcessHandoverServerSide_3315874220|3|derived|rpc-hash|high|
R|F|ScheduleOne.Messaging.MSGConversation|contactName|ContactName|0|derived|name-case|high|
R|P|ScheduleOne.Messaging.MSGConversation|index|Index|0|derived|name-case|high|
R|P|ScheduleOne.Messaging.MSGConversation|isOpen|IsOpen|0|derived|name-case|high|
R|M|ScheduleOne.NPCs.NPC|RpcReader___Observers_PlayVO_Client_1710085680|RpcReader___Observers_PlayVO_Client_3979304059|2|derived|rpc-hash|high|
R|M|ScheduleOne.NPCs.NPC|RpcReader___Server_PlayVO_Server_1710085680|RpcReader___Server_PlayVO_Server_3979304059|3|derived|rpc-hash|high|
R|F|ScheduleOne.NPCs.NPCHealth|AfflictedWithLethalEffect|_afflictedWithLethalEffect|0|derived|name-underscore|high|
R|F|ScheduleOne.NPCs.NPCHealth|npc|_npc|0|derived|name-underscore|high|
R|F|ScheduleOne.NPCs.NPCMovement|cacheNextPath|_cacheNextPath|0|derived|name-underscore|high|
R|F|ScheduleOne.NPCs.NPCMovement|faceDirectionRoutine|_faceDirectionRoutine|0|derived|name-underscore|high|
R|F|ScheduleOne.NPCs.NPCMovement|ladderClimbRoutine|_ladderClimbRoutine|0|derived|name-underscore|high|
R|F|ScheduleOne.NPCs.NPCSpeedController|_SpeedMultiplier|_speedMultiplier|0|derived|name-case|high|
R|M|ScheduleOne.PlayerScripts.Player|RpcReader___Observers_SetAppearance_2139595489|RpcReader___Observers_SetAppearance_595254339|2|derived|rpc-hash|high|
R|M|ScheduleOne.PlayerScripts.Player|RpcReader___Server_SetAppearance_Server_3281254764|RpcReader___Server_SetAppearance_Server_595254339|3|derived|rpc-hash|high|
R|P|ScheduleOne.PlayerScripts.PlayerManager|PlayerList|_playerList|0|derived|name-underscore|high|
R|M|ScheduleOne.Trash.TrashManager|RpcReader___Observers_CreateTrashBag_680856992|RpcReader___Observers_CreateTrashBag_632312601|2|derived|rpc-hash|high|
R|M|ScheduleOne.Trash.TrashManager|RpcReader___Server_SendTrashBag_3965031115|RpcReader___Server_SendTrashBag_3197724538|3|derived|rpc-hash|high|
R|M|ScheduleOne.Trash.TrashManager|RpcReader___Target_CreateTrashBag_680856992|RpcReader___Target_CreateTrashBag_632312601|2|derived|rpc-hash|high|
R|F|ScheduleOne.Trash.TrashManager|trashItems|_trashItems|0|derived|name-underscore|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|DIRECTION||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_BACKWARD||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_FORWARD||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_HEAVY_BACKWARD||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_HEAVY_FORWARD||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_HEAVY_LEFT||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_HEAVY_RIGHT||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_LEFT||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|FLINCH_RIGHT||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Animation.AAId|Get||1|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|IS_CROUCHED||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|IS_GROUNDED||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Animation.AAId|Init||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|JUMP||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|SITTING||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|STANDUP_BACK||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|STANDUP_FRONT||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|STRAFE||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|TIME_AIRBORNE||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AAId|s_CustomHashes||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|AllowCulling||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|Bones||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|DEBUG_MODE||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|FootstepDetector||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|GroundingMask||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|HipBone||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|IKController||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|ImpostorsEnabled||0|derived|removed|high|
-|P|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|IsAvatarCulled||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|LeftHandAlignmentPoint||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|LeftHandContainer||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|RagdollChange||3|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|RecalculateVisibilityRangeSqr||2|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|RightHandAlignmentPoint||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|RightHandContainer||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|SITTING_OFFSET||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|SetSeat||1|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|animator||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|onHeavyFlinch||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|onStandupDone||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|onStandupStart||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarAnimation|visibilityRangeSqr||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarLookController|AutoLookAtPlayer||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarLookController|CullRange||0|derived|removed|high|
-|M|ScheduleOne.AvatarFramework.Animation.AvatarLookController|RagdollChange||3|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarLookController|TempContainer||0|derived|removed|high|
-|F|ScheduleOne.AvatarFramework.Animation.AvatarLookController|lookAtTarget||0|derived|removed|high|
-|P|ScheduleOne.AvatarFramework.Animation.BoneTransform|Position||0|derived|removed|high|
